Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,adidas-campus-00s-black,Adidas Campus 00s Black,,Y2K-inspired silhouette.,published,,,,,,,,,,,,,,,,,,Size 42,AD-CMP-BLK-42,,,TRUE,,,,,,,,,110,,Size,42,,
,adidas-campus-00s-black,Adidas Campus 00s Black,,Y2K-inspired silhouette.,published,,,,,,,,,,,,,,,,,,Size 44,AD-CMP-BLK-44,,,TRUE,,,,,,,,,110,,Size,44,,
,adidas-gazelle-green,Adidas Gazelle Green,,Retro suede lifestyle shoe.,published,,,,,,,,,,,,,,,,,,Size 41,AD-GZL-GRN-41,,,TRUE,,,,,,,,,95,,Size,41,,
,adidas-gazelle-green,Adidas Gazelle Green,,Retro suede lifestyle shoe.,published,,,,,,,,,,,,,,,,,,Size 43,AD-GZL-GRN-43,,,TRUE,,,,,,,,,95,,Size,43,,
,new-balance-550-white-green,New Balance 550 White Green,,Retro basketball-inspired design.,published,,,,,,,,,,,,,,,,,,Size 42,NB-550-WG-42,,,TRUE,,,,,,,,,130,,Size,42,,
,new-balance-550-white-green,New Balance 550 White Green,,Retro basketball-inspired design.,published,,,,,,,,,,,,,,,,,,Size 45,NB-550-WG-45,,,TRUE,,,,,,,,,130,,Size,45,,
,new-balance-9060-grey,New Balance 9060 Grey,,Modern chunky silhouette.,published,,,,,,,,,,,,,,,,,,Size 41,NB-9060-GRY-41,,,TRUE,,,,,,,,,190,,Size,41,,
,new-balance-9060-grey,New Balance 9060 Grey,,Modern chunky silhouette.,published,,,,,,,,,,,,,,,,,,Size 44,NB-9060-GRY-44,,,TRUE,,,,,,,,,190,,Size,44,,
,asics-gel-1130-white,ASICS Gel-1130 White,,Retro running aesthetic.,published,,,,,,,,,,,,,,,,,,Size 42,ASC-1130-WHT-42,,,TRUE,,,,,,,,,120,,Size,42,,
,asics-gel-1130-white,ASICS Gel-1130 White,,Retro running aesthetic.,published,,,,,,,,,,,,,,,,,,Size 44,ASC-1130-WHT-44,,,TRUE,,,,,,,,,120,,Size,44,,
,vans-old-skool-black-white,Vans Old Skool Black White,,Classic skate silhouette.,published,,,,,,,,,,,,,,,,,,Size 41,VNS-OS-BW-41,,,TRUE,,,,,,,,,80,,Size,41,,
,vans-old-skool-black-white,Vans Old Skool Black White,,Classic skate silhouette.,published,,,,,,,,,,,,,,,,,,Size 43,VNS-OS-BW-43,,,TRUE,,,,,,,,,80,,Size,43,,
,converse-chuck-70-black,Converse Chuck 70 Black,,Premium canvas high-top.,published,,,,,,,,,,,,,,,,,,Size 42,CNV-CHK70-BLK-42,,,TRUE,,,,,,,,,85,,Size,42,,
,converse-chuck-70-black,Converse Chuck 70 Black,,Premium canvas high-top.,published,,,,,,,,,,,,,,,,,,Size 44,CNV-CHK70-BLK-44,,,TRUE,,,,,,,,,85,,Size,44,,
,puma-suede-classic-black,Puma Suede Classic Black,,Timeless suede sneaker.,published,,,,,,,,,,,,,,,,,,Size 41,PM-SDE-BLK-41,,,TRUE,,,,,,,,,90,,Size,41,,
,puma-suede-classic-black,Puma Suede Classic Black,,Timeless suede sneaker.,published,,,,,,,,,,,,,,,,,,Size 43,PM-SDE-BLK-43,,,TRUE,,,,,,,,,90,,Size,43,,
,reebok-club-c-85-white,Reebok Club C 85 White,,Minimal tennis-inspired design.,published,,,,,,,,,,,,,,,,,,Size 42,RBK-C85-WHT-42,,,TRUE,,,,,,,,,95,,Size,42,,
,reebok-club-c-85-white,Reebok Club C 85 White,,Minimal tennis-inspired design.,published,,,,,,,,,,,,,,,,,,Size 44,RBK-C85-WHT-44,,,TRUE,,,,,,,,,95,,Size,44,,
,nike-dunk-low-grey-fog,Nike Dunk Low Grey Fog,,Clean grey and white tones.,published,,,,,,,,,,,,,,,,,,Size 41,NK-DNK-GF-41,,,TRUE,,,,,,,,,125,,Size,41,,
,nike-dunk-low-grey-fog,Nike Dunk Low Grey Fog,,Clean grey and white tones.,published,,,,,,,,,,,,,,,,,,Size 43,NK-DNK-GF-43,,,TRUE,,,,,,,,,125,,Size,43,,
,nike-dunk-low-unc,Nike Dunk Low UNC,,University blue colorway.,published,,,,,,,,,,,,,,,,,,Size 42,NK-DNK-UNC-42,,,TRUE,,,,,,,,,140,,Size,42,,
,nike-dunk-low-unc,Nike Dunk Low UNC,,University blue colorway.,published,,,,,,,,,,,,,,,,,,Size 44,NK-DNK-UNC-44,,,TRUE,,,,,,,,,140,,Size,44,,
,nike-dunk-low-court-purple,Nike Dunk Low Court Purple,,Purple and white classic.,published,,,,,,,,,,,,,,,,,,Size 41,NK-DNK-CP-41,,,TRUE,,,,,,,,,135,,Size,41,,
,nike-dunk-low-court-purple,Nike Dunk Low Court Purple,,Purple and white classic.,published,,,,,,,,,,,,,,,,,,Size 43,NK-DNK-CP-43,,,TRUE,,,,,,,,,135,,Size,43,,
,nike-air-force-1-white,Nike Air Force 1 White,,Timeless all-white sneaker.,published,,,,,,,,,,,,,,,,,,Size 40,NK-AF1-WHT-40,,,TRUE,,,,,,,,,110,,Size,40,,
,nike-air-force-1-white,Nike Air Force 1 White,,Timeless all-white sneaker.,published,,,,,,,,,,,,,,,,,,Size 44,NK-AF1-WHT-44,,,TRUE,,,,,,,,,110,,Size,44,,
,nike-air-force-1-black,Nike Air Force 1 Black,,Classic black leather sneaker.,published,,,,,,,,,,,,,,,,,,Size 42,NK-AF1-BLK-42,,,TRUE,,,,,,,,,110,,Size,42,,
,nike-air-force-1-black,Nike Air Force 1 Black,,Classic black leather sneaker.,published,,,,,,,,,,,,,,,,,,Size 45,NK-AF1-BLK-45,,,TRUE,,,,,,,,,110,,Size,45,,
,jordan-1-mid-chicago,Jordan 1 Mid Chicago,,Inspired by the Chicago colorway.,published,,,,,,,,,,,,,,,,,,Size 41,JD1-MID-CHI-41,,,TRUE,,,,,,,,,150,,Size,41,,
,jordan-1-mid-chicago,Jordan 1 Mid Chicago,,Inspired by the Chicago colorway.,published,,,,,,,,,,,,,,,,,,Size 44,JD1-MID-CHI-44,,,TRUE,,,,,,,,,150,,Size,44,,
,jordan-1-high-bred-toe,Jordan 1 High Bred Toe,,"Iconic red, white and black.",published,,,,,,,,,,,,,,,,,,Size 42,JD1-HI-BT-42,,,TRUE,,,,,,,,,320,,Size,42,,
,jordan-1-high-bred-toe,Jordan 1 High Bred Toe,,"Iconic red, white and black.",published,,,,,,,,,,,,,,,,,,Size 44,JD1-HI-BT-44,,,TRUE,,,,,,,,,320,,Size,44,,
,jordan-4-black-cat,Jordan 4 Retro Black Cat,,All-black premium release.,published,,,,,,,,,,,,,,,,,,Size 41,JD4-BC-41,,,TRUE,,,,,,,,,290,,Size,41,,
,jordan-4-black-cat,Jordan 4 Retro Black Cat,,All-black premium release.,published,,,,,,,,,,,,,,,,,,Size 43,JD4-BC-43,,,TRUE,,,,,,,,,290,,Size,43,,
,jordan-11-concord,Jordan 11 Retro Concord,,Legendary patent leather design.,published,,,,,,,,,,,,,,,,,,Size 42,JD11-CON-42,,,TRUE,,,,,,,,,350,,Size,42,,
,jordan-11-concord,Jordan 11 Retro Concord,,Legendary patent leather design.,published,,,,,,,,,,,,,,,,,,Size 44,JD11-CON-44,,,TRUE,,,,,,,,,350,,Size,44,,
,adidas-samba-og-white,Adidas Samba OG White,,Classic football-inspired sneaker.,published,,,,,,,,,,,,,,,,,,Size 41,AD-SMB-WHT-41,,,TRUE,,,,,,,,,100,,Size,41,,
,adidas-samba-og-white,Adidas Samba OG White,,Classic football-inspired sneaker.,published,,,,,,,,,,,,,,,,,,Size 43,AD-SMB-WHT-43,,,TRUE,,,,,,,,,100,,Size,43,,
,adidas-campus-00s-black,Adidas Campus 00s Black,,Y2K-inspired silhouette.,published,,,,,,,,,,,,,,,,,,Size 42,AD-CMP-BLK-42,,,TRUE,,,,,,,,,110,,Size,42,,
,adidas-campus-00s-black,Adidas Campus 00s Black,,Y2K-inspired silhouette.,published,,,,,,,,,,,,,,,,,,Size 44,AD-CMP-BLK-44,,,TRUE,,,,,,,,,110,,Size,44,,
,adidas-gazelle-green,Adidas Gazelle Green,,Retro suede lifestyle shoe.,published,,,,,,,,,,,,,,,,,,Size 41,AD-GZL-GRN-41,,,TRUE,,,,,,,,,95,,Size,41,,
,adidas-gazelle-green,Adidas Gazelle Green,,Retro suede lifestyle shoe.,published,,,,,,,,,,,,,,,,,,Size 43,AD-GZL-GRN-43,,,TRUE,,,,,,,,,95,,Size,43,,
,new-balance-550-white-green,New Balance 550 White Green,,Retro basketball-inspired design.,published,,,,,,,,,,,,,,,,,,Size 42,NB-550-WG-42,,,TRUE,,,,,,,,,130,,Size,42,,
,new-balance-550-white-green,New Balance 550 White Green,,Retro basketball-inspired design.,published,,,,,,,,,,,,,,,,,,Size 45,NB-550-WG-45,,,TRUE,,,,,,,,,130,,Size,45,,
,new-balance-9060-grey,New Balance 9060 Grey,,Modern chunky silhouette.,published,,,,,,,,,,,,,,,,,,Size 41,NB-9060-GRY-41,,,TRUE,,,,,,,,,190,,Size,41,,
,new-balance-9060-grey,New Balance 9060 Grey,,Modern chunky silhouette.,published,,,,,,,,,,,,,,,,,,Size 44,NB-9060-GRY-44,,,TRUE,,,,,,,,,190,,Size,44,,
,asics-gel-1130-white,ASICS Gel-1130 White,,Retro running aesthetic.,published,,,,,,,,,,,,,,,,,,Size 42,ASC-1130-WHT-42,,,TRUE,,,,,,,,,120,,Size,42,,
,asics-gel-1130-white,ASICS Gel-1130 White,,Retro running aesthetic.,published,,,,,,,,,,,,,,,,,,Size 44,ASC-1130-WHT-44,,,TRUE,,,,,,,,,120,,Size,44,,
,vans-old-skool-black-white,Vans Old Skool Black White,,Classic skate silhouette.,published,,,,,,,,,,,,,,,,,,Size 41,VNS-OS-BW-41,,,TRUE,,,,,,,,,80,,Size,41,,
,vans-old-skool-black-white,Vans Old Skool Black White,,Classic skate silhouette.,published,,,,,,,,,,,,,,,,,,Size 43,VNS-OS-BW-43,,,TRUE,,,,,,,,,80,,Size,43,,
,converse-chuck-70-black,Converse Chuck 70 Black,,Premium canvas high-top.,published,,,,,,,,,,,,,,,,,,Size 42,CNV-CHK70-BLK-42,,,TRUE,,,,,,,,,85,,Size,42,,
,converse-chuck-70-black,Converse Chuck 70 Black,,Premium canvas high-top.,published,,,,,,,,,,,,,,,,,,Size 44,CNV-CHK70-BLK-44,,,TRUE,,,,,,,,,85,,Size,44,,
,puma-suede-classic-black,Puma Suede Classic Black,,Timeless suede sneaker.,published,,,,,,,,,,,,,,,,,,Size 41,PM-SDE-BLK-41,,,TRUE,,,,,,,,,90,,Size,41,,
,puma-suede-classic-black,Puma Suede Classic Black,,Timeless suede sneaker.,published,,,,,,,,,,,,,,,,,,Size 43,PM-SDE-BLK-43,,,TRUE,,,,,,,,,90,,Size,43,,
,reebok-club-c-85-white,Reebok Club C 85 White,,Minimal tennis-inspired design.,published,,,,,,,,,,,,,,,,,,Size 42,RBK-C85-WHT-42,,,TRUE,,,,,,,,,95,,Size,42,,
,reebok-club-c-85-white,Reebok Club C 85 White,,Minimal tennis-inspired design.,published,,,,,,,,,,,,,,,,,,Size 44,RBK-C85-WHT-44,,,TRUE,,,,,,,,,95,,Size,44,,
